Version,Metric,Value,Usecase
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),Total CPU,51.62409342896988,DOUYIN01W
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),Total Memory,20.320411062343236,DOUYIN01W
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),Adjusted,142.38776530599387,DOUYIN01W
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),CX,18.007026665556438,DOUYIN01W
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),GFX,1.4951999517748515,DOUYIN01W
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),Total CPU,53.48476429470287,DOUYIN01W
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),Total Memory,19.076299076398787,DOUYIN01W
1-FC - M523_AU298+M609_AU328-8(Blue),Adjusted,410.91697050206324,DOUYIN02-5G
1-FC - M523_AU298+M609_AU328-8(Blue),CX,56.717735286660265,DOUYIN02-5G
1-FC - M523_AU298+M609_AU328-8(Blue),GFX,20.462611488684075,DOUYIN02-5G
1-FC - M523_AU298+M609_AU328-8(Blue),Total CPU,134.763223945055,DOUYIN02-5G
1-FC - M523_AU298+M609_AU328-8(Blue),Total Memory,88.8799960508144,DOUYIN02-5G
2-PreCS1 - M619_r2(Orange),Adjusted,405.8713499508955,DOUYIN02-5G
2-PreCS1 - M619_r2(Orange),CX,52.58995802155353,DOUYIN02-5G
2-PreCS1 - M619_r2(Orange),GFX,14.682256737819118,DOUYIN02-5G
2-PreCS1 - M619_r2(Orange),Total CPU,146.81451512912483,DOUYIN02-5G
2-PreCS1 - M619_r2(Orange),Total Memory,78.1577429247805,DOUYIN02-5G
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,Adjusted,405.1213499508955,DOUYIN02-5G
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,CX,52.58995802155353,DOUYIN02-5G
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,GFX,14.682256737819118,DOUYIN02-5G
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,Total CPU,146.81451512912483,DOUYIN02-5G
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,Total Memory,78.1577429247805,DOUYIN02-5G
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,Adjusted,347.45,DOUYIN02-5G
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,CX,47.22,DOUYIN02-5G
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,GFX,11.95,DOUYIN02-5G
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,Total CPU,110.7,DOUYIN02-5G
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,Total Memory,71.27,DOUYIN02-5G
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),Adjusted,314.69551081837477,DOUYIN02-5G
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),CX,34.07123239899063,DOUYIN02-5G
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),GFX,30.439157038886417,DOUYIN02-5G
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),Total CPU,82.80995380962186,DOUYIN02-5G
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),Total Memory,60.58014096120146,DOUYIN02-5G
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),Adjusted,314.69551081837477,DOUYIN02-5G
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),CX,34.07123239899063,DOUYIN02-5G
